Date;Service;Gare de départ;Gare d'arrivée;Durée moyenne du trajet;Nombre de circulations prévues;Nombre de trains annulés;Commentaire annulations;Nombre de trains en retard au départ;Retard moyen des trains en retard au départ;Retard moyen de tous les trains au départ;Commentaire retards au départ;Nombre de trains en retard à l'arrivée;Retard moyen des trains en retard à l'arrivée;Retard moyen de tous les trains à l'arrivée;Commentaire retards à l'arrivée;Nombre trains en retard > 15min;Retard moyen trains en retard > 15 (si liaison concurrencée par vol);Nombre trains en retard > 30min;Nombre trains en retard > 60min;Prct retard pour causes externes;Prct retard pour cause infrastructure;Prct retard pour cause gestion trafic;Prct retard pour cause matériel roulant;Prct retard pour cause gestion en gare et réutilisation de matériel;Prct retard pour cause prise en compte voyageurs (affluence, gestions PSH, correspondances)
2018-01;National;BORDEAUX ST JEAN;PARIS MONTPARNASSE;141.0;870;5.0;;289.0;11.24780854;3.693179191;;147.0;28.43673469;6.511117534;;110.0; 6.51 ;44.0;8.0;36.13445378;31.09243697;10.92436975;15.96638655;5,04;0.840336134
2018-01;National;LE MANS;PARIS MONTPARNASSE;56.0;406.0;1.0;;213.0;8.479968701;4.567119342;;105.0;18.049;5.363539095;"Ce mois-ci, l'OD a été touchée par les incidents suivants :
Le 1er : Tempête Carmen sur la façade Atlantique  (52 TGV ; 1079mn)
Le 3 : Tempête Eleonor sur l’ouest de la France (35 TGV ; 407mn)
Le 5 : Dérangement d’une aiguille en gare de Massy TGV (57 TGV ; 1254mn)
Le 7 : Dérangement du poste d’aiguillage de Paris Montparnasse (70 TGV ; 1490mn)
Le 12 : Colis suspect en gare de Paris Montparnasse (32 TGV ; 499mn)
Le 12 : Incident caténaire en gare de Rennes (26 TGV ; 2188mn)
Le 17 : Dérangement du poste d’aiguillage de Paris Montparnasse (26 TGV ; 386mn)
Le 17 : Présence d’une personne dans les voies à Ste Luce (11 TGV ; 212mn)
Le 26 : Heurt d’une personne au niveau de Tiercé (44 TGV ; 1578mn)";32.0;5.363539095;9.0;4.0;20.0;35.0;16.66666667;16.66666667;8.333333333;3.333333333
2018-01;National;PARIS MONTPARNASSE;LA ROCHELLE VILLE;166.0;226.0;0.0;;21.0;6.23968254;0.286283186;;19.0;24.73684211;2.938053097;;11.0;2.938053097;6.0;1.0;22.22222222;27.77777778;16.66666667;16.66666667;5.555555556;11.11111111
2018-01;National;PARIS MONTPARNASSE;NANTES;216.21;508.0;3.0;;71.0;7.235211268;0.98;;58.0;33.72643678;5.292211221;;39.0;5.292211221;18.0;;33.33333333;22.22222222;16.66666667;20.37037037;5.555555556;1.851851852
2018-01;National;POITIERS;PARIS MONTPARNASSE;94.0;472.0;4.0;;224.0;6.784672619;3.229700855;;89.0;14.59269663;4.882371795;;42.0;4.882371795;10.0;0.0;15.78947368;45.61403509;;15.78947368;1.754385965;1.754385965
2018-01;National;ST MALO;PARIS MONTPARNASSE;158.0;92.0;0.0;;2.0;1.225;0.0625;;10.0;24.975;4.81576087;;6.0;4.763978495;3.0;1.0;22.22222222;66.66666667;0.0;11.11111111;0.0;0.0
2018-01;National;TOULOUSE MATABIAU;PARIS MONTPARNASSE;257.0;184.0;0.0;;;11.22173913;1.193931159;;26.0;40.11666667;12.96;"Ce mois-ci, l'OD a été touchée par les incidents suivants :
Le 1er : Tempête Carmen sur la façade Atlantique  (52 TGV ; 1079mn)
Le 3 : Tempête Eleonor sur l’ouest de la France (35 TGV ; 407mn)
Le 5 : Dérangement d’une aiguille en gare de Massy TGV (57 TGV ; 1254mn)
Le 7 : Dérangement du poste d’aiguillage de Paris Montparnasse (70 TGV ; 1490mn)
Le 12 : Colis suspect en gare de Paris Montparnasse (32 TGV ; 499mn)
Le 17 : Dérangement du poste d’aiguillage de Paris Montparnasse (26 TGV ; 386mn)";26.0;7.510507246;12.0;3.0;59.09090909;22.72727273;4.545454545;9.090909091;4.545454545;0.0
2018-01;National;VANNES;PARIS MONTPARNASSE;156.0;278.0;1.0;;168.0;5.120436508;3.131046931;;37.0;;6.264019254;;25.0;6.241486811;11.0;3.0;24.13793103;44.82758621;20.68965517;3.448;3.448275862;3.448275862
2018-01;National;REIMS;PARIS EST;46.0;230.0;1.0;;93.0;7.4 min;3.107569141;;62.0;12.81747312;3.538937409;;20.0;3.538937409;3.0;0.0;17.94871795;41.02564103;20.51282051;5.128205128;0.0;15.38461538
2018-01;National;DOUAI;PARIS NORD;77.0;197.0;3.0;;39.0;8.032905983;1.802920962;;37.0;21.4009009;5.046907216;;10.0;5.046907216;5.0;3.0;36.36363636;18.18181818;22.72727273;18.18181818;4.545454545;0.0
2018-01;National;LILLE;PARIS NORD;63.0;579.0;9.0;;164.0;8.22195122;2.344327485;;101.0;22.20577558;4.229619883;;38.0;4.222212493;17.0;10.0;36.23188406;8.695652174;21.73913043;23.1884058;5.797101449;4.347826087
2018-01;National;LILLE;MARSEILLE ST CHARLES;307.0;190.0;4.0;;50.0;7.381333333;2.043458781;;35.0;44.1152381;9.938261649;;35.0;9.938261649;13.0;7.0;57.14285714;19.04761905;4.761904762;9.523809524;4.761904762;4.761904762
2018-01;National;PARIS NORD;DUNKERQUE;116.0;271.0;3.0;;46.0;11.2365942;1.797636816;;29.0;28.68965517;3.73880597;;18.0;3.73880597;9.0;4.0;35.71428571;28.57142857;7.142857143;25.0;3.571428571;0.0
2018-01;National;AIX EN PROVENCE TGV;PARIS LYON;188.0;402.0;0.0;;117.0;6.625641026;2.005431177;;37.0;35.97432432;4.417205638;;37.0;4.417205638;19.0;7.0;42.85714286;22.85714286;8.571428571;22.85714286;0.0;2.857142857
2018-01;National;ANNECY;PARIS LYON;224.0;;0.0;;12.0;8.070833333;0.489141414;;38.0;37.24605263;8.552525253;;38.0;8.552525253;14.0;5.0;23.80952381;42.85714286;9.523809524;14.28571429;4.761904762;4.761904762
2018 01;National;GRENOBLE;PARIS LYON;265.2;245.0;0.0;-;247;8.027027027;1.212244898;;23.0;46.31449275;6.123741497;Le 9760 heurte un chevreuil vers Le-Creusot-Montchanin-TGV;25.0;9.47;13.0;6.0;17.64705882;52.94117647;0.0;23.52941176;5.882352941;0.0
2018-01;National;LYON PART DIEU;MARNE LA VALLEE;109.0;316.0;3.0;;221.0;10.31432881;7.273375932;;64.0;37.121875;7.814643237;;53.0;7.814643237;27.0;10.0;18.36734694;34.69387755;12.24489796;20.40816327;6.12244898;8.163265306
2018-01;National;MACON LOCHE;PARIS LYON;99.0;;1.0;;153.0;11.77625272;8.031622024;;49.0;26.26054422;6,02;;38.0;6.021279762;10.0;1.0;16.21621622;27.02702703;32.43243243;21.62162162;2.702702703;0.0
2018-01;National;MARSEILLE ST CHARLES;LYON PART DIEU;106.0;557.0;7.0;;133.0;6.978195489;;;60.0;28.92;5.195333333;;40.0;5.195333333;19.0;5.0;23.07692308;23.07692308;19.23076923;23.07692308;3.846153846;7.692307692
2018-01;National;MONTPELLIER;PARIS LYON;206.0;;;;122.0;10.99180328;4.073619329;;58.0;44.75574713;7.465581854;Heurt d’un chevreuil par OUIGO 7801 vers Valence-TGV;58.0;7.465581854;31.0;11.0;22.0;38.0;12.0;22.0;2.0;4.0
2018-01;National;PARIS LYON;MARSEILLE ST CHARLES;202,0;482.0;2.0;;51.0;13.03660131;1.0721875;;43.0;41.65620155;5.045868056;Dérangement de commutateur sur LN1 vers Tonnerre;43.0;5.045868056;20.0;8.0;41.02564103;30.76923077;12.82051282;15.38461538;0.0;0.0
2018-01;International;BARCELONA;PARIS LYON;390.0;35.0;0.0;;10.0;1.4;0.314285714;;7.0;57.67619048;9.219047619;;7.0;9.219047619;3.0;3.0;14.28571429;14.28571429;14.28571429;57.143;0.0;0.0
2018-01;International;FRANCFORT;PARIS EST;224.0;177.0;3.0;;43.0;4.619767442;1.339750958;;26.0;25.86153846;6.438984674;;25.0;6.438984674;6.0;;30.76923077;15.38461538;23.07692308;15.38461538;7.692307692;7.692307692
2018-01;International;MADRID;MARSEILLE ST CHARLES;481.0;16.0;1.0;;6.0;3.5;1.0;;3.0;20.27222222;7.255555556;;3.0;7.255555556;0.0;0.0;0.0;0.0;66.66666667;33.33333333;0.0;0.0
2018-01;International;PARIS LYON;ITALIE;394.0;94.0;0.0;;27.0;11.2617284;2.997695035;;22.0;55.68181818;11.60106383;;22.0;11.60106383;15.0;6.0;33.33333333;19.04761905;23.80952381;14.29%;9.523809524;0.0
2018-01;International;PARIS LYON;LAUSANNE;222.0;151.0;2.0;NC;10.0;10.91166667;0.368008949;;20.0;33.67583333;6.025838926;;20.0;6.025838926;6.0;2.0;31.57894737;26.31578947;31.57894737;5.263157895;0.0;5.263157895
2018-01;National;PARIS MONTPARNASSE;LAVAL;84.0;217.0;0.0;;32.0;11.609375;1.455760369;;66.0;15.13434343;5.82281106;"Ce mois-ci, l'OD a été touchée par les incidents suivants :
Le 1er : Tempête Carmen sur la façade Atlantique  (52 TGV ; 1079mn)
Le 3 : Tempête Eleonor sur l’ouest de la France (35 TGV ; 407mn)
Le 5 : Dérangement d’une aiguille en gare de Massy TGV (57 TGV ; 1254mn)
Le 7 : Dérangement du poste d’aiguillage de Paris Montparnasse (70 TGV ; 1490mn)
Le 12 : Colis suspect en gare de Paris Montparnasse (32 TGV ; 499mn)
Le 12 : Incident caténaire en gare de Rennes (26 TGV ; 2188mn)
Le 17 : Dérangement du poste d’aiguillage de Paris Montparnasse (26 TGV ; 386mn)";16.0;5.82281106;5.0;2;24.24242424;54.54545455;3.03030303;12.12121212;3.03030303;3.03030303
2018-01;National;PARIS MONTPARNASSE;VANNES;152.0;253.0;;;38.0;9.746929825;1.055026455;;39.0;40.30769231;7.77281746;"Ce mois-ci, l'OD a été touchée par les incidents suivants :
Le 1er : Tempête Carmen sur la façade Atlantique  (52 TGV ; 1079mn)
Le 3 : Tempête Eleonor sur l’ouest de la France (35 TGV ; 407mn)
Le 5 : Dérangement d’une aiguille en gare de Massy TGV (57 TGV ; 1254mn)
Le 7 : Dérangement du poste d’aiguillage de Paris Montparnasse (70 TGV ; 1490mn)
Le 12 : Colis suspect en gare de Paris Montparnasse (32 TGV ; 499mn)
Le 12 : Incident caténaire en gare de Rennes (26 TGV ; 2188mn)
Le 17 : Dérangement du poste d’aiguillage de Paris Montparnasse (26 TGV ; 386mn) ";27.0;7.742094862;16.0;8.0;25.64102564;38.46153846;12.82051282;17.94871795;0.0;5.128205128
2018-01;National;ST PIERRE DES CORPS;PARIS MONTPARNASSE;61.0;410.0;1.0;;173.0;6.719267823;2.954808476;-;114.0;;4.359739201;"Ce mois-ci, l'OD a été touchée par les incidents suivants :
Le 1er : Tempête Carmen sur la façade Atlantique  (52 TGV ; 1079mn)
Le 3 : Tempête Eleonor sur l’ouest de la France (35 TGV ; 407mn)
Le 5 : Dérangement d’une aiguille en gare de Massy TGV (57 TGV ; 1254mn)
Le 7 : Dérangement du poste d’aiguillage de Paris Montparnasse (70 TGV ; 1490mn)
Le 12 : Colis suspect en gare de Paris Montparnasse (32 TGV ; 499mn)
Le 17 : Dérangement du poste d’aiguillage de Paris Montparnasse (26 TGV ; 386mn)";26.0;4.359739201;9;0.0;22.72727273;45.45454545;;;1.515151515;1.515151515
2018-01;National;TOURS;PARIS MONTPARNASSE;75.0;194.0;0.0;;12.0;5.727777778;0.333075601;;35.0;11.13142857;2.929295533;;7.0;2.929295533;1.0;0.0;25.0;56.25;6.25;12.5;0.0;0.0
2018-01;National;PARIS EST;METZ;84.0;310.0;0.0;;41.0;6.409349593;0.823548387;;24.0;11.88888889;0.76;;7.0;0.76;1.0;0.0;26.66666667;6.666666667;13.33333333;40.0;13.33333333;0.0
